entity_type,entity_id,name,country,species_binomial,n_data_points,year_min,year_max,json_path
population,123801,Helmeted Honeyeater,australia,Lichenostomus_melanops,31,1990,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_123801.json
population,123802,Helmeted Honeyeater,australia,Lichenostomus_melanops,20,2001,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_123802.json
population,110266,Leadbeater's Possum,australia,Gymnobelideus_leadbeateri,20,2001,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_110266.json
population,110277,Leadbeater's Possum,australia,Gymnobelideus_leadbeateri,20,2001,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_110277.json
population,110278,Leadbeater's Possum,australia,Gymnobelideus_leadbeateri,20,2001,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_110278.json
population,120267,Malleefowl,australia,Leipoa_ocellata,28,1993,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120267.json
population,120269,Malleefowl,australia,Leipoa_ocellata,29,1990,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120269.json
population,120294,Malleefowl,australia,Leipoa_ocellata,24,1996,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120294.json
population,120302,Malleefowl,australia,Leipoa_ocellata,26,1995,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120302.json
population,120303,Malleefowl,australia,Leipoa_ocellata,26,1995,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120303.json
population,120304,Malleefowl,australia,Leipoa_ocellata,31,1990,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120304.json
population,120305,Malleefowl,australia,Leipoa_ocellata,28,1992,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120305.json
population,120306,Malleefowl,australia,Leipoa_ocellata,31,1990,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120306.json
population,120307,Malleefowl,australia,Leipoa_ocellata,31,1990,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120307.json
population,120308,Malleefowl,australia,Leipoa_ocellata,30,1991,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120308.json
population,120309,Malleefowl,australia,Leipoa_ocellata,30,1991,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120309.json
population,120310,Malleefowl,australia,Leipoa_ocellata,30,1991,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120310.json
population,120311,Malleefowl,australia,Leipoa_ocellata,24,1996,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120311.json
population,120312,Malleefowl,australia,Leipoa_ocellata,30,1990,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120312.json
population,120313,Malleefowl,australia,Leipoa_ocellata,30,1990,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120313.json
population,120314,Malleefowl,australia,Leipoa_ocellata,24,1997,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120314.json
population,120316,Malleefowl,australia,Leipoa_ocellata,25,1996,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120316.json
population,120317,Malleefowl,australia,Leipoa_ocellata,25,1996,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120317.json
population,120318,Malleefowl,australia,Leipoa_ocellata,25,1996,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120318.json
population,120320,Malleefowl,australia,Leipoa_ocellata,25,1996,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120320.json
population,120321,Malleefowl,australia,Leipoa_ocellata,27,1994,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120321.json
population,120323,Malleefowl,australia,Leipoa_ocellata,30,1990,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120323.json
population,120324,Malleefowl,australia,Leipoa_ocellata,31,1990,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120324.json
population,120325,Malleefowl,australia,Leipoa_ocellata,28,1993,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120325.json
population,120326,Malleefowl,australia,Leipoa_ocellata,20,2001,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120326.json
population,120328,Malleefowl,australia,Leipoa_ocellata,27,1994,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120328.json
population,120331,Malleefowl,australia,Leipoa_ocellata,28,1993,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120331.json
population,120332,Malleefowl,australia,Leipoa_ocellata,28,1993,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120332.json
population,120333,Malleefowl,australia,Leipoa_ocellata,29,1991,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120333.json
population,120335,Malleefowl,australia,Leipoa_ocellata,29,1992,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120335.json
population,120337,Malleefowl,australia,Leipoa_ocellata,27,1992,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120337.json
population,120339,Malleefowl,australia,Leipoa_ocellata,27,1994,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120339.json
population,120340,Malleefowl,australia,Leipoa_ocellata,27,1994,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120340.json
population,120341,Malleefowl,australia,Leipoa_ocellata,20,2000,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120341.json
population,120377,Malleefowl,australia,Leipoa_ocellata,23,1995,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120377.json
population,27730,Moose,canada,Alces_americanus,36,1981,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_27730.json
population,110261,Mountain Pygmy-possum,australia,Burramys_parvus,39,1982,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_110261.json
population,123810,Plains-wanderer,australia,Pedionomus_torquatus,20,2001,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_123810.json
population,27563,Wolverine,finland,Gulo_gulo,32,1989,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_27563.json
population,27564,Wolverine,finland,Gulo_gulo,32,1989,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_27564.json
population,27566,Wolverine,norway,Gulo_gulo,23,1998,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_27566.json
population,27565,Wolverine,sweden,Gulo_gulo,23,1998,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_27565.json
population,111105,Yellow-footed Rock-wallaby,australia,Petrogale_xanthopus,40,1980,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_111105.json
population,111106,Yellow-footed Rock-wallaby,australia,Petrogale_xanthopus,40,1980,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_111106.json
